connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
pierre bessard,friedrich a. von hayek-gesellschaft e. v.,institut constant de rebecque,unconvinced of agw,germany,europe,,switzerland,europe,1,0
pierre bessard,institute for research in economics and fiscal issues,institut constant de rebecque,unconvinced of agw,france,europe,,switzerland,europe,1,0
pierre bouteille,clexit,les collectif des climato réalistes,unconvinced of agw,usa,north america,,unknown,unknown,1,1
pierre desrochers,ludwig von mises institute,montreal economic institute,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
pierre desrochers,ludwig von mises institute,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
pierre desrochers,ludwig von mises institute,institut economique molinari,unconvinced of agw,usa,north america,,france,europe,1,1
pierre desrochers,montreal economic institute,icrei,unconvinced of agw,canada,north america,,switzerland,europe,1,1
pierre desrochers,montreal economic institute,institut economique molinari,unconvinced of agw,canada,north america,,france,europe,1,1
pierre desrochers,icrei,institut economique molinari,,switzerland,europe,,france,europe,1,0
pierre garello,institute for economic studies,institute for research in economics and fiscal issues,unconvinced of agw,france,europe,unconvinced of agw,france,europe,0,0
pierre garello,institute for economic studies,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,france,europe,unconvinced of agw,germany,europe,1,0
pierre garello,institute for economic studies,institut constant de rebecque,unconvinced of agw,france,europe,,switzerland,europe,1,0
pierre garello,institute for research in economics and fiscal issues,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,france,europe,unconvinced of agw,germany,europe,1,0
pierre garello,institute for research in economics and fiscal issues,institut constant de rebecque,unconvinced of agw,france,europe,,switzerland,europe,1,0
pierre garello,berlin manhattan institut für unternehmerische freiheit e.v.,institut constant de rebecque,unconvinced of agw,germany,europe,,switzerland,europe,1,0
pierre lemieux,montreal economic institute,forces,unconvinced of agw,canada,north america,,usa,north america,1,0
pierre lemieux,montreal economic institute,institut turgot,unconvinced of agw,canada,north america,unconvinced of agw,france,europe,1,1
pierre lemieux,montreal economic institute,la main invisible,unconvinced of agw,canada,north america,unconvinced of agw,france,europe,1,1
pierre lemieux,forces,institut turgot,,usa,north america,unconvinced of agw,france,europe,1,1
pierre lemieux,forces,la main invisible,,usa,north america,unconvinced of agw,france,europe,1,1
pierre lemieux,institut turgot,la main invisible,unconvinced of agw,france,europe,unconvinced of agw,france,europe,0,0
piers corbyn,principia scientific international,repeal the act!,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
pieter cleppe,open europe,itinera institute,,uk,europe,,belgium,europe,1,0
pieter cleppe,open europe,libera!,,uk,europe,,belgium,europe,1,0
pieter cleppe,itinera institute,libera!,,belgium,europe,,belgium,europe,0,0
purdy crawford,macdonald-laurier institute,atlantic institute for market studies,unconvinced of agw,canada,north america,,canada,north america,0,0
randal otoole,independence institute,north dakota policy council,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
randall holcombe,ludwig von mises institute,james madison institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
randy barnett,goldwater institute,institute for humane studies,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
randy barnett,goldwater institute,institute for economic studies,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
randy barnett,institute for humane studies,institute for economic studies,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
randy p. kendrick,goldwater institute,independent womens forum,unconvinced of agw,usa,north america,,usa,north america,0,0
randy randol,global climate science communications team,virginia scientists and engineers for energy and environment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
razeen sally,institute of economic affairs,ecipe,unconvinced of agw,uk,europe,,belgium,europe,1,0
reagan,american council for capital formation,environmental literacy council,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
reagan,american council for capital formation,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
reagan,environmental literacy council,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
reed larson,council for national policy,national right to work committee,unconvinced of agw,usa,north america,,usa,north america,0,0
renaud dozoul,institut de formation politique,institut economique molinari,,france,europe,,france,europe,0,0
rhodes boyson,the freedom association,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
richard d. north,institute of economic affairs,social affairs unit,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
richard e. wagner,institute for humane studies,public interest institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard e. wagner,institute for humane studies,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard e. wagner,institute for humane studies,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
richard e. wagner,institute for humane studies,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
richard e. wagner,public interest institute,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard e. wagner,public interest institute,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
richard e. wagner,public interest institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
richard e. wagner,virginia institute for public policy,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
richard e. wagner,virginia institute for public policy,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
richard e. wagner,committee on taxation and economic growth,tobacco institute,,usa,north america,,usa,north america,0,0
richard ebeling,ludwig von mises institute,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard ebeling,ludwig von mises institute,liberales institut,unconvinced of agw,usa,north america,unconvinced of agw,switzerland,europe,1,1
richard ebeling,ludwig von mises institute,institut constant de rebecque,unconvinced of agw,usa,north america,,switzerland,europe,1,1
richard ebeling,the bastiat society,liberales institut,unconvinced of agw,usa,north america,unconvinced of agw,switzerland,europe,1,1
richard ebeling,the bastiat society,institut constant de rebecque,unconvinced of agw,usa,north america,,switzerland,europe,1,1
richard ebeling,liberales institut,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
richard ellis,australian petroleum production and exploration association,center for security policy,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
richard epstein,the bastiat society,bill of rights institute,unconvinced of agw,usa,north america,,usa,north america,0,0
richard k. armey,council for national policy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard k. vedder,public interest institute,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
richard k. vedder,public interest institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
richard k. vedder,national tax limitation committee,tobacco institute,,usa,north america,,usa,north america,0,0
richard l. stroup,property and environment research center,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
richard r. phillips,national taxpayers union,public interest institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard rahn,discovery institute,u.s. chamber of commerce foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
richard rahn,discovery institute,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
richard rahn,u.s. chamber of commerce foundation,mont pelerin society,,usa,north america,,global,global,1,1
richard stroup,insitute for energy research,responsible resources,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard vedder,american legislative exchange council,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard vedder,american legislative exchange council,national taxpayers union,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard vedder,american legislative exchange council,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard vedder,american legislative exchange council,north dakota policy council,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
richard vedder,ludwig von mises institute,national taxpayers union,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
